FamilyEx,Genus,Species,AccessionList
Polygonaceae,Rumex,acetosa,1974-0208
Polygonaceae,Rumex,acetosella,1979-0490
Polygonaceae,Rumex,crispus,1983-0730; 1996-0096
Polygonaceae,Rumex,salicifolius,1978-0495
Primulaceae,Anagallis,arvensis,1982-0265; 2025-0177
Primulaceae,Androsace,laevigata,1973-0725; 1974-0839; 1974-1175; 1975-0473; 1979-0444; 1983-0247; 1989-0439; 1994-0481; 2018-0470
Primulaceae,Dodecatheon,dentatum,1980-0246; 1982-1150; 1994-0566; 2009-0309; 2010-0328; 2022-0138
Primulaceae,Dodecatheon,frigidum,1978-0326
Primulaceae,Dodecatheon,hendersonii,1972-0695; 1973-0088; 1975-0141; 1978-0817; 1992-0726; 1993-0536; 1995-0991; 2006-0194; 2007-0081; 2007-0096; 2007-0510; 2008-0433; 2009-0301; 2011-0863; 2012-0086; 2012-0355; 2013-0273; 2013-0441; 2022-0362; 2022-0363; 2024-0083
Primulaceae,Dodecatheon,jeffreyi,1971-0089; 1974-0503; 1974-0571; 1975-0587; 1982-0921; 1994-0544; 1995-0992; 2011-0831; 2017-0398
Primulaceae,Dodecatheon,pulchellum,1976-0225; 1978-0206; 2012-0568
Primulaceae,Glaux,maritima,1990-0301
Primulaceae,Lysimachia,nummularia,1975-0369; 2024-0317
Primulaceae,Lysimachia,vulgaris,1977-0786
Primulaceae,Trientalis,europaea,1975-0441
Primulaceae,Trientalis,latifolia,1974-0320; 1976-0050; 1995-0239; 2010-0530
Pteridaceae,Cheilanthes,feei,1975-0609
Pteridaceae,Cheilanthes,gracillima,1973-0290; 1974-0570; 1975-0828; 2007-0471; 2021-0689; 2022-0518; 2023-0482
Ranunculaceae subfam. Ranunculoideae,Anemone,canadensis,2018-0768; 2020-0587
Ranunculaceae subfam. Ranunculoideae,Anemone,occidentalis,1974-1142; 1975-0603; 1982-0128; 1982-1370; 1992-0472; 2005-0233; 2014-0419; 2018-0862; 2019-0926
Ranunculaceae subfam. Ranunculoideae,Anemone,richardsonii,1978-0118; 1978-0320
Ranunculaceae subfam. Ranunculoideae,Delphinium,glareosum,2011-0245
Ranunculaceae subfam. Ranunculoideae,Trollius,laxus,1975-0348; 1977-0215; 1982-1368
Rhamnaceae,Rhamnus,alnifolia,1973-0460; 1975-0653; 1980-0316; 2022-0174
Rosaceae,Dryas,octopetala,1974-0195; 1974-0928; 1979-0779; 1985-0178; 1993-0514; 2001-0268; 2019-0005; 2019-0103; 2024-0224
Rosaceae,Potentilla,glandulosa,1971-0067; 1976-0291; 2002-0144
Rosaceae,Potentilla,recta,1989-0328; 1998-0720; 2001-0340; 2001-0342
Rosaceae,Potentilla,virginiana,2002-0153; 2002-0154
Rosaceae,Prunus,laurocerasus,1974-0290; 1974-0363; 1985-0052
Rosaceae,Rosa,arkansana,1978-0129; 1978-0347; 1982-0453; 2008-0288
Rosaceae,Rosa,canina,1978-0311; 1997-0561; 2020-0661; 2020-0676
Rosaceae,Rubus,armeniacus,2024-0383
Rosaceae,Sanguisorba,canadensis,1989-0742; 1990-0558; 1991-0413; 2003-0278; 2013-0410; 2019-0997
Rosaceae,Sanguisorba,minor,1978-0427; 1988-0476; 2001-0356
Rosaceae,Sorbus,aucuparia,1974-0349; 1975-0720; 1976-0070; 1982-0697
Rubiaceae,Galium,mollugo,1987-0461
Rubiaceae,Galium,verum,1984-0255; 1984-0310; 2001-0168
Sapindaceae,Acer,negundo,1976-0423
Saxifragaceae,Hemieva,ranunculifolia,1975-0673; 1978-0086; 1978-0841; 1988-0352; 2013-0207
Saxifragaceae,Pectiantia,breweri,1974-0209; 1995-0097; 2010-0534; 2015-0355; 2016-0275
